CNN,"{'LY16': [0.8471715036197067, 0.8523361569148404, 0.8093169316931693, 0.8469582053251408, 0.8161945751176058, 0.8228826579604379, 0.851228, 0.8468701831648482, 0.8492249224922493, 0.8653905390539053, 0.7898558278273142, 0.8350309254382272, 0.8475060408698853, 0.8550176802828845, 0.8259916212852964, 0.8177728144225496, 0.8029347839139258, 0.8019054089026916, 0.8237635338586713, 0.8646544654465446, 0.8676027602760275, 0.8667472028993044, 0.8635111896773572, 0.8458653988530448, 0.889932150229633, 0.8313250117135408, 0.8463126312631264, 0.7697559023609444], 'LY555': [0.8866327444956476, 0.8829900887887676, 0.8428330779172453, 0.873881422798127, 0.9033658154121864, 0.8662029918636683, 0.8501344193563872, 0.8870397337216558, 0.8532546082949308, 0.8436478954449356, 0.8978475913903655, 0.9044292681365546, 0.8731163532599111, 0.8853915415661664, 0.8600020050125314, 0.8825139345147828, 0.8434054503848553, 0.8873927392739273, 0.8410404392930327, 0.9267882794025265, 0.8646134642389909, 0.8230816309387138, 0.8516313570371201, 0.9131784434203789, 0.8738895558223289], 'REGN33': [0.7572010369493207, 0.8606148707906339, 0.7700990803963217, 0.8082640000000001, 0.798216735802489, 0.8293607128709702, 0.8488543266769073, 0.867739818135246, 0.8595882183355756, 0.8849029478076658, 0.7576310524209684, 0.8866497833575382, 0.8926262820205123, 0.7603193714973739, 0.8259948500466541, 0.8647476482814134, 0.807268, 0.8560160013522269, 0.7782408168008366, 0.8038381410256411, 0.8321392139213921, 0.859324, 0.8857995551359396, 0.8817032553521962, 0.8488393529873836], 'REGN87': [0.9460722344017539, 0.9606734152286945, 0.9432214646949618, 0.9579847756410257, 0.9672011427837699, 0.9488779800840964, 0.9355925279161793, 0.9522245207447213, 0.9400222688604432, 0.9568647129666801, 0.9468267718740873, 0.9540631204217156, 0.9661374517621816, 0.958928485548021, 0.9497503759398496, 0.9670275590551182, 0.9445399999999999, 0.9581349716932578, 0.9478141213083671, 0.9652870013281913, 0.9570868652992126, 0.9339354621552419, 0.9645475794057378, 0.963143081660145, 0.9674225333488273]}"
XGBoost,"{'LY16': [0.5016826923076922, 0.4751331047917725, 0.5180238023802379, 0.4884862166824774, 0.5004181672669068, 0.5099666378648233, 0.5041368928141309, 0.44295265739165246, 0.4958867752317817, 0.504341658685922, 0.4902870287028702, 0.5095441527064433], 'LY555': [0.5063362833275294, 0.5107892219834399, 0.5259273384183059, 0.49308457830939456, 0.4783545190671604, 0.4874036133955338, 0.4770848339335734, 0.48833149834851364, 0.5427642764276428, 0.4939239027824445], 'REGN33': [0.4962121666886773, 0.4791679167916792, 0.4842935297043205, 0.4870006111682964, 0.5021571148738779, 0.495740482264042, 0.5007894387953927, 0.5185029554304283, 0.4908914705399442, 0.5308290829082908], 'REGN87': [0.48808394474664873, 0.5244678926741031, 0.4992099873597978, 0.5198967162817861, 0.503015206082433, 0.512508474712261, 0.5072949313736085, 0.5114857643767186, 0.5113050686593703, 0.5037701716188525]}"
ProtT5_CNN,"{'LY16': [0.8172064315477261, 0.8322693290773163, 0.8139159999999999, 0.8074047824972772, 0.8339261920862359, 0.8055065224091487, 0.8259632154114467, 0.8140556222488995, 0.8144842225218283, 0.8245590865979133, 0.8096764346764347, 0.82478, 0.8219064080404583, 0.833183323732719, 0.788733860474427, 0.823461175378806, 0.7939822874271149, 0.8052092208368833, 0.7885496580344887, 0.8137503759398497, 0.7876136654713115, 0.7843327891940337, 0.8265500342604355, 0.7992686566567047, 0.8199679117854171, 0.8092811759810511, 0.8220566116231438], 'LY555': [0.867638221153846, 0.860654753326608, 0.8063684682377049, 0.8294867537082014, 0.8480247600222471, 0.8615484067229446, 0.841000100010001, 0.8511785697140388, 0.820227528191015, 0.863605817693083, 0.8736834526042938, 0.8418651008081462, 0.8131093109310932, 0.8350740626662558, 0.8523940000000001, 0.8596350166410651, 0.8494769220910301, 0.8115369845917535, 0.8596057041940484, 0.8264665866346538, 0.826866711512589, 0.8212741274127412, 0.8138275101919977, 0.8586669120088322, 0.8422240000000001], 'REGN33': [0.7751704436335702, 0.8320992891905736, 0.8412491242117907, 0.8480450995454838, 0.7865603161713822, 0.8522092209220923, 0.8331333325333301, 0.8099709595353526, 0.8068394159707746, 0.8385693862104592, 0.8334340036241304, 0.8345334101382489, 0.8217227564102565, 0.8280669962877625, 0.8186618873117728, 0.8275460737179486, 0.8159232636930547, 0.822933166930671, 0.8251435072244321, 0.8158695869586959, 0.8242456982793118, 0.8265913063652255, 0.7987921042520493, 0.8303961222393426, 0.824453330451385], 'REGN87': [0.9537924131718546, 0.9498827831207693, 0.9295877702225929, 0.9441036905447795, 0.9480400710809426, 0.9511838942307691, 0.9384293894429773, 0.9425640672807628, 0.9596583637888082, 0.9450974271547429, 0.9532770097286225, 0.9459739864364142, 0.9536581348353428, 0.933139255702281, 0.9545318181272725, 0.9448489816913407, 0.9429037716150863, 0.9395176364184504, 0.9586358926349564, 0.9377987550118599, 0.9294089408940894, 0.9609003029865819, 0.9492870821867104, 0.9488367255504353, 0.9242370901409803]}"
ProtT5_XGBoost,"{'LY16': [0.5133532821394093, 0.49889788978897887, 0.5105540422161688, 0.48837432590293, 0.4892430246955629, 0.5106861552254098, 0.5076324884792627, 0.4971057105710571, 0.5441617455710139, 0.4773709483793518, 0.47456534964139346, 0.5095315192980624], 'LY555': [0.475425115304151, 0.47143417178699437, 0.5154990216830253, 0.5039261413410883, 0.5221296651942897, 0.478624, 0.5429846862175959, 0.5312461249845, 0.4766379065516262, 0.4972537253725373], 'REGN33': [0.5028687343960053, 0.5182260729042916, 0.5177146377269581, 0.4944486606515446, 0.4984197724472324, 0.49367235527663933, 0.5170460926344836, 0.5052519999999999, 0.49055358171691954, 0.5133943397660842], 'REGN87': [0.4884294871794872, 0.46786107496747065, 0.5113339425127046, 0.5133473347334734, 0.5104986876640419, 0.49765463250517594, 0.503744, 0.5188868072568894, 0.48113169810716977, 0.5218531328561592]}"
